"b_a","M_0","V_0","K_0","R_0","b_q","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,8.81192957750603,0.123109135990754,0.0810262626240895,0.401184730171264,0.103516244622633,1.09,1.09,0.2,0.125,37.3970170732753,8e+06,7636.54704005165,12921.7003465161,0,17,22,0.9,0.284852493445082,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,9,-636.457088301127,,,0.0132605179839436
0,5,13,14,26.6106777517023,0.0922652189816326,0.249319346527875,0.206658495217433,0.427277245493809,1.09,1.09,0.2,0.125,149.48131871279,8e+06,20090.1145547187,17257.0739348993,0,17,22,0.9,0.71711381851192,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,9,-682.518488429448,,,0.00112341184254462
0,5,13,14,7.06199875313583,0.240193306400293,0.795798387126882,0.157427484330664,0.174981149855949,1.09,1.09,0.2,0.125,58.078038090736,8e+06,65553.6260602989,10267.5800355768,0,17,22,0.9,0.276423484975708,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,10,-627.320193073544,,,0.00820675951596981
0,5,13,14,79.2379538539276,0.0614922358114085,0.0363409509629571,0.112475273010075,0.661262744124833,1.09,1.09,0.2,0.125,411.102588978419,8e+06,18958.0781672295,5029.55712775142,0,17,22,0.9,0.303564670982989,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,10,-644.983725797484,,,0.0122555609378529
0,5,13,14,6.21523667190825,0.239522656039216,0.923363165543288,0.174094846874239,0.153289151735696,1.09,1.09,0.2,0.125,8.97850776172373,8e+06,59637.113167384,11293.4624451675,0,17,22,0.9,0.275078721909034,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,11,-627.209308263593,,,0.0104632512145053
0,5,13,14,12.3042863051636,0.146733593768738,0.518393807613699,0.509426071587367,0.0997800392506271,1.09,1.09,0.2,0.125,627.995227416142,8e+06,20466.5423943712,26259.5183616284,0,17,22,0.9,0.497251617004284,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,11,-676.641224393336,,,0.00268921271900086
0,5,13,14,153.062280039852,0.128408866479568,0.0170282312585775,0.0619336275498443,0.588953111168407,1.09,1.09,0.2,0.125,724.856281144693,8e+06,45554.1281077687,10926.390150011,0,17,22,0.9,0.295849349939593,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,12,-640.35392543205,,,0.00988201028566064
0,5,13,14,6.59481570524426,0.116902598995256,0.0310513383224655,0.571014281046645,0.128101147661333,1.09,1.09,0.2,0.125,2978.25623092517,8e+06,12156.215845497,5191.69782318146,0,17,22,0.9,0.283151196205717,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,12,-631.1464282933,,,0.00858867761465529
0,5,13,14,13.4442926806549,0.0649653686790488,0.0525962939650076,0.887547054446176,0.0710195535020167,1.09,1.09,0.2,0.125,2.34090715259522,8e+06,15369.3110404563,10100.1677931823,0,17,22,0.9,0.498128987988375,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,13,-674.436082481079,,,0.00246693366050468
0,5,13,14,19.8832778001946,0.146530333398677,0.0927562585693424,0.158191978483378,0.135999660774951,1.09,1.09,0.2,0.125,218.731204753597,8e+06,41544.1510905257,18969.2709453981,0,17,22,0.9,0.282383927370643,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,13,-630.833037432932,,,0.0085292020691629
0,5,13,14,12.9865026864988,0.152625191191755,0.905744769943303,0.116139650498363,0.720107040363771,1.09,1.09,0.2,0.125,2067.68440308452,8e+06,36620.9384685631,3283.85610877957,0,17,22,0.9,0.287109795886778,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,14,-632.618603965863,,,0.0069254767368578
0,5,13,14,21.2789674645772,0.111281310772711,0.721494307623354,0.114436663310584,0.596274671781723,1.09,1.09,0.2,0.125,34.9601429501949,8e+06,20635.5573778497,6797.9298634323,0,17,22,0.9,0.303090523525982,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,14,-638.762303040344,,,0.00984933120059433
