"b_a","M_0","V_0","K_0","R_0","b_q","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se","Antibody_Mean_LL","Antibody_LL_SE","Median_Herd_Immunity","combo_num","sim_subset_index","duration_of_symp_1","duration_of_symp_2","duration_of_symp","gamma_total","Beta","R_0_P","R_0_A","R_0_S_1","R_0_S_2","R_0_NGM","b_a_times_b_p","b_a_plus_b_p"
0.275862068965517,5,13,14,7.43405528638187,0.158478777704796,0.318349170645743,0.17134458521807,0.156725507270859,1.09,1.09,0.2,0.125,3861.95561139759,8e+06,50636.9440620856,11633.7634302153,0,17,22,0.9,0.279055865497808,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,138,-628.543081809791,NA,NA,0.00930505592166304,-26.0045051450723,0.00686037140895528,0.176408625,36,1,5,0.000258936171365811,5.00025893617137,0.199989643089501,1.48673406343113,0.434220693636766,1.6992968717282,1.27371915714091,5.56244029810944e-05,3.40729234690886,0.0878204608677911,0.59421123961126
0.344827586206897,5,13,14,6.32564060232701,0.161541561989943,0.464887823206509,0.162384821178101,0.154602580601576,1.09,1.09,0.2,0.125,253.068497643899,8e+06,46679.5004637343,14443.0946095928,0,17,22,0.9,0.277686946796011,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,168,-629.000999152521,NA,NA,0.0105899176137504,-25.1598200139465,0.00399009381511411,0.18515625,43,1,5,0.00395149933440998,5.00395149933441,0.199842064842757,1.26412907942221,0.539154326591413,1.82560983605897,1.02637687254007,0.000685740317308527,3.39182677550776,0.160306145933279,0.809715409413406
0.344827586206897,5,13,14,5.0464229785195,0.194233017385703,0.829137531441103,0.14027933750028,0.190833956228836,1.09,1.09,0.2,0.125,10.9728597873339,8e+06,67995.5323846318,10095.8693464886,0,17,22,0.9,0.2757079844966,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,176,-627.894584810935,NA,NA,0.00672484961939911,-24.7435650052328,0.0034343479223881,0.218685625,44,1,5,0.0911339449679574,5.09113394496796,0.196419896001439,0.99121787662007,0.753996278294548,1.46925946477478,0.695236935253489,0.010253701064002,2.92874637938682,0.285909493600381,1.173965117648
0.344827586206897,5,13,14,5.37801636520781,0.176345370758235,0.67660156280143,0.16326968018984,0.154638128649591,1.09,1.09,0.2,0.125,184.391053713098,8e+06,50998.8958746077,13336.384196041,0,17,22,0.9,0.277589224294887,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,178,-628.468825942495,NA,NA,0.00869092236409983,-25.138030181903,0.00482292032487938,0.185618875,45,1,5,0.00542325660525778,5.00542325660526,0.199783304774552,1.07443788257284,0.666941605946646,1.5500254363816,0.877115647357584,0.00080424739715912,3.09488693708299,0.233310883724631,1.02142914900833
0.344827586206897,5,13,14,6.61963281699369,0.166845200409915,0.465434179417501,0.135911090562664,0.150572178483451,1.09,1.09,0.2,0.125,173.699820270932,8e+06,53744.7315816421,17695.2183743774,0,17,22,0.9,0.280886215951615,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,180,-629.017396736107,NA,NA,0.00604322640202775,-24.7934513646293,0.00400189014325637,0.2221080625,46,1,5,0.00575705834606063,5.00575705834606,0.199769982510979,1.32240393207993,0.564671549528531,1.97012857156309,0.898646802866691,0.000878913512842139,3.43432583747115,0.160494544626725,0.810261765624398
0.379310344827586,5,13,14,5.04585934590516,0.185824835441103,0.810139117620506,0.139943862588686,0.187725792288793,1.09,1.09,0.2,0.125,11.5217181827705,8e+06,63023.235873243,11777.0098351142,0,17,22,0.9,0.276842296575939,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,193,-627.922197657475,NA,NA,0.00966479943147213,-24.6274340990399,0.00312998251681798,0.2178438125,51,1,5,0.0867926106277615,5.08679261062776,0.196587530993639,0.991953030552675,0.737266011828377,1.61801520887179,0.694088693010471,0.00978656714654721,3.05915648085718,0.30729414806295,1.18944946244809
0.448275862068966,5,13,14,4.12811933293592,0.191612862657941,0.925221848555758,0.160936472829517,0.17979028613608,1.09,1.09,0.2,0.125,20.3374004183303,8e+06,60882.5772791957,9730.56020146194,0,17,22,0.9,0.276346249841231,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,226,-627.834131253209,NA,NA,0.00481401247346401,-25.1015780603895,0.00305617841854694,0.1883348125,54,1,5,0.0491704927586856,5.04917049275869,0.198052333830707,0.817583668219621,0.693987406292803,1.53759659885748,0.65789515903142,0.00530659758909267,2.8947857617708,0.414754621766375,1.37349771062472
0.448275862068966,5,13,14,4.4548246790648,0.182603383706499,0.806294647989952,0.157548537200683,0.156740713602431,1.09,1.09,0.2,0.125,198.190222264025,8e+06,54085.0131746421,14509.545078795,0,17,22,0.9,0.281730219958115,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,227,-628.540624854945,NA,NA,0.00911486601224538,-24.7762514916901,0.00272386316138894,0.1913599375,55,1,5,0.00504565759388382,5.00504565759388,0.199798377160207,0.890066741410388,0.658400045828488,1.68067144271942,0.701143565600926,0.000596644795123382,3.04081169894396,0.361442428409289,1.25457051005892
0.448275862068966,5,13,14,4.69564516205442,0.180073078434737,0.788003019426312,0.146646214618793,0.163380537225451,1.09,1.09,0.2,0.125,31.3489948739629,8e+06,59688.5655669741,12643.6032118018,0,17,22,0.9,0.277216543526742,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,228,-628.370199045451,NA,NA,0.00546244009095386,-24.4722029996558,0.00211387523683374,0.210609375,56,1,5,0.031898949360911,5.03189894936091,0.198732130764869,0.933175568370824,0.674628592230343,1.78487512897044,0.68423332338161,0.00365206551419875,3.14738911009659,0.353242732846278,1.23627888149528
0.482758620689655,5,13,14,4.89712562307463,0.166486140571233,0.645290728067556,0.161403386917486,0.198474831409784,1.09,1.09,0.2,0.125,60.8392307953611,8e+06,55455.9527412976,9070.93163843359,0,17,22,0.9,0.278603820746804,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,243,-628.210239319053,NA,NA,0.0087442257538212,-25.0409360486971,0.00329554793817101,0.1898948125,59,1,5,0.0164367627093051,5.01643676270931,0.199344683747177,0.97621595860201,0.577929455667393,1.97605509505007,0.787822810406324,0.0020758310145443,3.34388319213834,0.311519661825717,1.12804934875721
