"G_w_y_scaling","M_0","V_0","K_0","R_0","b_q","b_a","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,223.731591086347,0.103738359315558,0.954804138864246,0.878148999724848,0.658933426695003,0.44206621816076,1.09,1.09,0.2,0.125,384.949316530761,8e+06,17830.7819249878,21848.7804524655,0,17,22,0.9,1.31297542226564,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,6,-763.093225881722,,,8.46979790402606e-05
0,5,13,14,9.2843925745905,0.104781057818041,0.120276016794604,0.644878509735914,0.304362430775039,0.85059468935561,1.09,1.09,0.2,0.125,9.34769459304522,8e+06,4413.15751453739,12891.4860775435,0,17,22,0.9,0.438115767119928,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,7,-686.956602653811,,,0.000866429112147016
0,5,13,14,24.9855827771469,0.0729424286126006,0.57539595372556,0.0563634436368573,0.0657472514094812,0.615421802384615,1.09,1.09,0.2,0.125,204.108359035158,8e+06,33318.5762089188,811.79337918808,0,17,22,0.9,0.427850049772109,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,7,-684.040286619151,,,0.00156803191239336
0,5,13,14,248.210686431037,0.330057354265904,0.982095163938762,0.749260662002448,0.646772571345086,0.640389191477443,1.09,1.09,0.2,0.125,10.3940310943126,8e+06,41258.921724156,20638.2070392978,0,17,22,0.9,1.32699177662027,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,8,-763.310430980538,,,0.000103286344088629
0,5,13,14,135.387501909825,0.213522757227351,0.570514592893694,0.226833953248371,0.934245373239733,0.843250333318314,1.09,1.09,0.2,0.125,160.982273143089,8e+06,15070.2633946546,6913.2231265104,0,17,22,0.9,1.3219133900384,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,8,-763.229240608828,,,0.000122540485240091
0,5,13,14,5.35116050946115,0.142323040391282,0.522779218101029,0.903318295972326,0.14245173503387,0.928108501370896,1.09,1.09,0.2,0.125,100.237011427084,8e+06,28357.3587406484,16375.2820310639,0,17,22,0.9,0.449739064794689,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,9,-686.241284226084,,,0.000879250598697949
0,5,13,14,130.638221220751,0.0547817423706126,0.109073878509955,0.899599503405569,0.831565105397788,0.472898643272668,1.09,1.09,0.2,0.125,203.264068129463,8e+06,46611.6806636112,9915.71763870039,0,17,22,0.9,1.31175721498513,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,9,-763.074998691339,,,0.000123169971564281
0,5,13,14,7.58056170071778,0.112027376656427,0.671064892804233,0.261781756950679,0.109038491869947,0.937043363707384,1.09,1.09,0.2,0.125,782.474765009028,8e+06,23103.3049986526,21545.861477805,0,17,22,0.9,0.444211513644523,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,10,-686.945620861972,,,0.000673335727889061
0,5,13,14,4.26428735920421,0.135970167118982,0.676796107672946,0.0935910669225018,0.453619326026128,0.213900906649403,1.09,1.09,0.2,0.125,362.524944453823,8e+06,9444.01871449271,13645.067736562,0,17,22,0.9,0.424928652826343,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,10,-687.358986323527,,,0.000751704112607706
0,5,13,14,5.14815841128086,0.119924231944184,0.893696831271428,0.696302614994413,0.107421051768809,0.898917555560256,1.09,1.09,0.2,0.125,897.827845948712,8e+06,28054.2560957579,19968.9716486173,0,17,22,0.9,0.445086602052746,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,11,-686.24983753741,,,0.00141974841122391
