"b_p","M_0","V_0","K_0","R_0","b_q","b_a","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,20.2721138855555,0.106858640728169,0.525487617446213,0.0614136345006064,0.633759450638369,1.09,1.09,0.2,0.125,52.1210860962199,8e+06,41919.8291984711,9434.01093495599,0,17,22,0.9,0.290624079408055,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,6,-635.518207793004,,,0.0111404225712242
0,5,13,14,11.2229831102647,0.0393687477838813,0.66681867451866,0.98496832115953,0.146746936737213,1.09,1.09,0.2,0.125,43.584438696068,8e+06,2938.59231717738,7347.9082610064,0,17,22,0.9,0.444848392389153,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,6,-670.170095084777,,,0.00451859341690332
0,5,13,14,15.9960412174003,0.0779701683296619,0.488989189425052,0.0997366579682589,0.788408155365421,1.09,1.09,0.2,0.125,183.058671111263,8e+06,44127.0484028184,3063.56454141387,0,17,22,0.9,0.294805332294502,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,7,-635.165961861242,,,0.0105450707188366
0,5,13,14,23.0175811737572,0.0895378037265221,0.523414947013109,0.0661449744412466,0.593284698683255,1.09,1.09,0.2,0.125,662.554447124256,8e+06,25218.9727719764,10097.8671707761,0,17,22,0.9,0.297672854427036,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,7,-637.895050150465,,,0.0083024198727724
0,5,13,14,1146.84902153472,0.0823884701157518,0.971518337089516,0.384725049990168,0.318220703165234,1.09,1.09,0.2,0.125,763.781561187333,8e+06,44818.2344857513,9840.95019357139,0,17,22,0.9,1.2738252599853,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,8,-758.229184594093,,,0.000149975012692012
0,5,13,14,20.4548111929535,0.0898260395853246,0.637774018222236,0.066530830373237,0.612278850938798,1.09,1.09,0.2,0.125,1.84391081700865,8e+06,30676.7533089758,9212.35625805525,0,17,22,0.9,0.295246668768224,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,8,-637.086978271793,,,0.0103229716878075
0,5,13,14,19.2776761709566,0.0944441556763291,0.6599827200615,0.0684551315739877,0.541453301221841,1.09,1.09,0.2,0.125,443.539202217103,8e+06,7076.36823483875,16000.1015777634,0,17,22,0.9,0.310643576766985,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,9,-642.830903115696,,,0.00780522905877284
0,5,13,14,133.151237757122,0.239034176803985,0.0878966638612398,0.587484149423339,0.210191890257443,1.09,1.09,0.2,0.125,94.4036763484777,8e+06,19764.4584311724,12469.6126108301,0,17,22,0.9,1.28124008221175,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,9,-758.60196968835,,,0.000357007456653656
0,5,13,14,18.0968073857494,0.118953116289779,0.551168714931784,0.0592681081837322,0.655878298840679,1.09,1.09,0.2,0.125,11.4200389886043,8e+06,60951.4396352645,7652.61386485519,0,17,22,0.9,0.289512021334951,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,10,-635.587232552206,,,0.0103903113373407
0,5,13,14,4.58516104371087,0.124000401730018,0.558753380969406,0.595503130046871,0.162619824970705,1.09,1.09,0.2,0.125,70.0777567319663,8e+06,15579.5012324241,3257.94676608035,0,17,22,0.9,0.279482505788465,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,10,-629.63576499744,,,0.00932431689154547
