"b_a","M_0","V_0","K_0","R_0","b_q","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,128.409869763423,0.110253908717809,0.0268399808043511,0.0605908801307797,0.695303268201895,1.08999963766512,1.08999998831178,0.199999996344067,0.124999980555083,236.935872917371,8000000.60905197,45089.4559334589,10753.0485357118,0,17,22,0.89999994665611,0.238766593951207,0.0121504342859768,0.981008536252928,-37.2348100320795,229.409400286237,1183.29999988609,0.116200351246697,109.112100501751,0.161999992952797,"mif1",1,6,-623.586712466451,,,0.00972228427180526
0,5,13,14,3.65737923171554,0.139708412603461,0.988803602139503,0.686761340270666,0.120131254125062,1.08999926364201,1.08999961428867,0.199999979631232,0.124999995025719,111.451440495362,8000000.29969224,4373.66091630585,7130.48885595083,0,17,22,0.899999982975354,0.253755018747847,0.012150721038969,0.981008588558218,-37.2348103742602,229.409400119699,1183.29999964309,0.116200124574998,109.112100209823,0.161999972451842,"mif1",2,6,-629.863508117868,,,0.0105444820034816
0,5,13,14,7.76921484200859,0.171348057659853,0.714249669538803,0.236317691590454,0.297399187652474,1.08999982467667,1.08999942727712,0.19999998798765,0.124999987790401,102.063882750239,8000000.14501236,32168.8458439258,3899.83460421714,0,17,22,0.899999928496487,0.236378576078319,0.0121502909094807,0.981008562405573,-37.2348102031699,229.409400202968,1183.29999952158,0.116200237910847,109.112100063859,0.16199998270232,"mif1",1,7,-616.867483959764,,,0.00974868030948792
0,5,13,14,17.7708701763719,0.117999481890716,0.0341144728090159,0.226316220082162,0.182825085229702,1.08999945065356,1.08999980130023,0.199999971274815,0.124999973319765,56.7419070395363,8000000.4543721,25563.9326285204,9836.83982947592,0,17,22,0.899999964815732,0.240110192834379,0.0121505776624729,0.981008510100284,-37.2348105453506,229.40940003643,1183.29999976459,0.116200464582547,109.112100355787,0.161999962201365,"mif1",2,7,-619.932933305262,,,0.0132527683499502
0,5,13,14,6.17779636886033,0.214732116627867,0.995225041162213,0.189799039930475,0.171735432005133,1.0899995207829,1.08999954415934,0.19999997858668,0.124999999547793,200.452252824678,8000000.00966749,42190.356170955,11327.825954633,0,17,22,0.89999993076644,0.239123957207217,0.0121504163639148,0.981008578750976,-37.2348105667369,229.409400296646,1183.29999993165,0.116200393747641,109.112100082105,0.161999991671487,"mif1",1,8,-617.973891071599,,,0.00923305519391765
0,5,13,14,76.3886923068212,0.0742531265284477,0.0313496617356205,0.104126769105092,0.718301660583171,1.089999894806,1.08999991818245,0.199999995299515,0.124999985077157,4.20339096766084,8000000.31902721,27952.5066729845,4410.26467130472,0,17,22,0.899999967085685,0.240615872597829,0.012150703116907,0.981008526445687,-37.2348102245561,229.409400130108,1183.29999968865,0.116200167075941,109.112100374033,0.161999971170533,"mif1",2,8,-624.04935602206,,,0.0280458974378637
0,5,13,14,12.8119197788956,0.105142578677845,0.0109042783395032,0.34744246255138,0.157889538353078,1.08999970779445,1.08999935714779,0.199999986943098,0.124999992312475,23.5054758295087,8000000.16434736,6357.17553116312,10933.1256700375,0,17,22,0.899999985245307,0.251192615221434,0.0121505597404109,0.981008552598331,-37.2348100534658,229.409400046839,1183.29999981015,0.116200280411791,109.112100228069,0.161999960920055,"mif1",1,9,-628.358131667628,,,0.0225049479267095
0,5,13,14,715.039039985865,0.074230455020309,0.122807150387368,0.864845565824418,0.140108208609049,1.08999961428867,1.08999963766512,0.199999974408471,0.124999981459498,226.714748402212,8000000.24168729,23527.3034536167,14825.1209594915,0,17,22,0.899999994325118,1.27809273677689,0.0121506314286589,0.981008539522009,-37.234810139011,229.409400255011,1183.2999996279,0.116200337079716,109.112100009123,0.161999996796726,"mif1",2,9,-760.257468904299,,,0.000282858305993984
0,5,13,14,14.6520861692397,0.194806929701425,0.394566108469746,0.122793480862322,0.270528276177049,1.08999998831178,1.08999926364201,0.199999991121306,0.124999995930134,26.663732499563,8000000.55104703,63820.424084364,8378.61807967961,0,17,22,0.899999958005874,0.235998354894478,0.0121503446756667,0.981008591827298,-37.2348104811918,229.409400088473,1183.2999998709,0.116200110408016,109.112100301051,0.161999976295771,"mif1",1,10,-619.654582417361,,,0.00960476905913828
0,5,13,14,69.1918650130306,0.0630849425875172,0.00568077889284496,0.127479108845793,0.719373597839027,1.08999942727712,1.08999945065356,0.199999982764889,0.124999988694816,97.7867612646433,8000000.39636715,22684.7042942202,3699.44073041681,0,17,22,0.899999976165496,0.243658853761846,0.0121504880521628,0.981008565674654,-37.2348103101014,229.409400171742,1183.29999999241,0.116200223743866,109.112100447015,0.161999986546249,"mif1",2,10,-620.428915771869,,,0.0155656948444167
